CI_stem,N12,No of mistletoes,Stand,ID,DBH,Distance from infected stem,Infected,Max_size of mistletoe,Min distance to mistletoe 120cm in diameter,Min distance to mistletoe 100cm in diameter,Min distance to mistletoe 50cm in diameter,Min distance to mistletoe
4.690689545,30,0,äobes,1451,26,3.36102,0,0,38.92071,8.8728,5.20904,3.36102
4.087971145,22,0,äobes,1530,20,7.37479,0,0,56.88345,29.79466,15.60112,7.37479
6.664104848,37,1,äobes,67,18,2.70185,1,30,57.24956,22.19641,11.32171,2.70185
2.38385431,19,1,äobes,1012,30,14.13943,1,50,32.1019,25.47019,15.37597,14.13943
7.001117656,34,0,äobes,1455,15,7.47632,0,0,42.53845,13.16354,9.38602,7.47632
4.113695928,23,0,äobes,1529,21,7.09035,0,0,56.51272,29.63283,15.12628,7.09035
2.218553481,18,0,äobes,1013,31,0.7063,0,0,31.81791,26.08118,15.31243,0.7063
5.086105444,29,0,äobes,1462,19,10.81925,0,0,46.91204,18.13588,10.81925,10.81925
5.15963144,40,0,äobes,1019,26,9.4897,0,0,36.52545,16.00681,9.4897,9.4897
5.003375786,32,0,äobes,1450,25,2.00363,0,0,37.59777,9.83869,6.34527,2.00363
5.039507046,40,0,äobes,1017,27,9.76712,0,0,36.14635,16.4287,9.76712,9.76712
6.629101382,58,0,äobes,1027,20,9.67546,0,0,37.67449,10.51252,9.67546,9.67546
8.235838929,54,0,äobes,1022,19,7.95606,0,0,39.49244,12.5278,7.95606,7.95606
4.803980647,32,0,äobes,1457,24,9.17901,0,0,44.4471,16.53227,9.17901,9.17901
2.304637762,26,0,äobes,1008,40,3.43275,0,0,29.97424,16.2688,13.31334,3.43275
5.59803047,40,0,äobes,1018,24,9.77963,0,0,35.72342,16.56786,9.77963,9.77963
9.691950621,33,0,äobes,1461,13,9.25606,0,0,44.96596,17.25341,9.25606,9.25606
3.502327621,17,0,äobes,1014,20,1.43087,0,0,30.72344,25.73259,14.19767,1.43087
5.502331122,35,0,äobes,1456,20,7.93271,0,0,42.31511,14.52225,8.83261,7.93271
2.970233055,27,1,äobes,1006,31,7.72326,1,20,29.15455,19.27654,13.08145,7.72326
3.316981941,26,0,äobes,1009,30,2.79329,0,0,29.5604,16.9481,13.43809,2.79329
1.678251674,23,0,äobes,1522,32,14.85384,0,0,51.71777,29.54897,15.13283,14.85384
9.440368765,53,0,äobes,1021,17,7.40118,0,0,39.02734,12.12867,7.40118,7.40118
4.949813886,19,0,äobes,1015,14,2.23658,0,0,30.09804,26.29242,13.83301,2.23658
4.690687152,25,0,äobes,1528,22,7.97109,0,0,54.44157,30.79019,13.37453,7.97109
7.846529796,54,0,äobes,1023,20,7.11467,0,0,39.02461,11.52889,7.11467,7.11467
